year_month,total_sales,total_customers,total_quantity
2010-12,43419,14,14
2011-01,469795,144,144
2011-02,466307,144,144
2011-03,485165,150,150
2011-04,502042,157,157
2011-05,561647,174,174
2011-06,737793,230,230
2011-07,596710,188,188
2011-08,614516,193,193
2011-09,603047,185,185
2011-10,708164,221,221
2011-11,660507,208,208
2011-12,669395,222,222
2012-01,495363,252,252
2012-02,506992,260,260
2012-03,373478,212,212
2012-04,400324,219,219
2012-05,358866,207,207
2012-06,555142,318,318
2012-07,444533,246,246
2012-08,523887,294,294
2012-09,486149,269,269
2012-10,535125,313,313
2012-11,537918,324,324
2012-12,624454,354,483
2013-01,857758,627,1677
2013-02,771218,1373,3454
2013-03,1049732,1631,4087
2013-04,1045860,1564,3979
2013-05,1284456,1719,4400
2013-06,1642948,1948,5025
2013-07,1371595,1796,4673
2013-08,1545910,1898,4848
2013-09,1447324,1832,4616
2013-10,1673261,2073,5304
2013-11,1780688,2036,5224
2013-12,1874128,2133,5520
2014-01,45642,834,1970